,OBJECTID,siteNo,location,SiteID,Easting,Northing,Current_,pollutants,InstrumentID,Exposure,tube_kerb,rec_kerb,comments,AQMA,Detailed_Location,Tube_Height,Elevation,Grid_ID,LocationClass,LAQM_Locationclass,Survey,RouteID,RouteSequenceID,Description,DateStart,DateEnd,Colocated,Duplicate_Triplicate,obstruction_m,obstruction_lt,inlet_flow_clear,junction_m,longitude,latitude
236,237,PS5,Parson Street Bedminster Down Road,242,357510,170401,Yes,NO2,1,Yes,0.5,5.5,,Yes,On galvanised lamp post down from 108 School House on north side of A38 ( ouside building site),3.2,36.7,29.0,Urban Traffic,Kerbside,Roadside Stage 4 (DT),,,,,,,,3.0,No,Yes,80.0,-2.6125907995089865,51.431007070114305
237,238,PS6,Parson Street Chip Shop,243,357897,170606,No,NO2,1,Yes,2.0,5.0,,Yes,,,21.0,29.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.6070486343407127,51.43287925934496
238,239,KL1,Kingsweston Lane Central,244,353453,178482,No,NO2,1,No,,,,No,,,7.7,117.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.6720117439196267,51.50334279755375
239,240,KL2,Kingsweston Lane 100m N,245,353409,178573,No,NO2,1,No,,,,No,,,13.4,117.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.672657705171317,51.50415731123273
240,241,KL3,Kingsweston Lane 200m N,246,353385,178706,No,NO2,1,No,,,,No,,,7.2,117.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.673021124738356,51.505351087492016
241,242,KL4,Kingsweston Lane 100m S,247,353516,178401,No,NO2,1,No,,,,No,,,13.5,117.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.671093411221292,51.50261975655806
242,243,KL5,Kingsweston Lane 200m S,248,353589,178323,No,NO2,1,No,,,,No,,,13.3,117.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.6700314449881337,51.501924504765135
243,244,LW1,Lawrence Weston Road Central,249,354244,179066,No,NO2,1,No,,,,No,,,7.8,129.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.6606920258666364,51.50865826868867
244,245,LW2,Lawrence Weston Road 100m N,250,354149,179126,No,NO2,1,No,,,,No,,,9.4,129.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.662068674861417,51.50918997600058
245,246,LW3,Lawrence Weston Road 200m N,251,354059,179216,No,NO2,1,No,,,,No,,,6.5,129.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.6633772351364327,51.509991797426004
246,247,LW4,Lawrence Weston Road 100m S,252,354360,178982,No,NO2,1,No,,,,No,,,8.4,118.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.659009722339381,51.507912470975086
247,248,LW5,Lawrence Weston Road 200m S,253,354448,178914,No,NO2,1,No,,,,No,,,6.9,118.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.657732978600183,51.507308233344894
248,249,H1,Merchants Road Hotwells,254,357118,172429,Yes,NO2,1,Yes,0.8,4.5,,Yes,lamppost 7 outside number 11 Merchants Road,2.6,9.6,47.0,Urban Traffic,Kerbside,Roadside Stage 4 (DT),,,,,,,,3.0,No,Yes,60.0,-2.618474212360676,51.44921078066181
249,250,H2,Joy Hill Hotwells,255,356937,172534,No,NO2,1,Yes,2.0,8.0,,Yes,,,10.7,46.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.621091563748958,51.45014107539806
250,251,H3,Church Hotwells,256,357124,172559,No,NO2,1,Yes,,,,No,,,9.6,47.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.6184036467653207,51.45038007991161
251,252,H4,Almshouses Hotwells,257,356838,172512,No,NO2,1,Yes,,,,No,,,11.4,46.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.622513492952727,51.44993571329461
252,253,M321,Stapleton Road North,258,361151,175542,No,NO2,1,Yes,,,,No,,,12.6,82.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.560783205779347,51.477492650656565
253,254,M322,Stapleton Road Middle,259,361143,175461,No,NO2,1,Yes,,,,Yes,,,12.7,82.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.5608894411608127,51.47676383417026
254,255,M323,Stapleton Road South,260,361140,175366,Yes,NO2,1,Yes,3.5,5.0,,Yes,Outside No 648 on telegraph pole ,2.4,13.5,82.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,2.0,No,Yes,75.0,-2.560922134953657,51.47590948761241
255,256,M324,Stapleton Road Heath Street,261,361103,175059,Yes,NO2,1,Yes,3.0,8.0,Ignoring Stapleton Rd,Yes,Under M32 entry slipway overhang on 1 way/humps road sign,2.1,14.5,82.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,3.0,No,Yes,173.0,-2.561420923562884,51.47314669991888
256,257,M325,Stapleton Road Argyll Street,262,360997,174873,No,NO2,1,Yes,,,,No,,,14.1,68.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.5629264266545206,51.47146707636785
257,258,M326,Gatton Road,263,360343,174473,No,NO2,1,No,17.0,21.0,,Yes,Outside No 37 on black lamp post.  ,2.5,12.1,68.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.572296930365433,51.46782517526481
258,259,M327,Baptist Mills School,264,360402,174412,No,NO2,1,Yes,,,,No,,,12.6,68.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.571440722229958,51.46728086579813
259,260,M328,Elton Street Wellington Road,265,359791,173641,No,NO2,1,Yes,,,,No,,,9.2,57.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.5801485352061504,51.46030531741056
260,261,M329,Cabot Primary School,266,359837,173919,No,NO2,1,Yes,2.0,20.0,Local road not M32. Add 20 for M32,Yes,,,10.5,57.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.5795180880279616,51.46280819469029
261,262,M3210,Pritchard Street,267,359430,173589,No,NO2,1,Yes,5.0,7.0,Pritchard St kerb,Yes,,,11.7,57.0,Urban Traffic,Roadside,Roadside Stage 4 (DT),,,,,,,,,No,No,,-2.5853384894270692,51.459811899124645
262,263,CONTINPILNING,Pilning Fire Station,268,355841,184410,No,NOX NO2 NO Meteorology,2,No,,,,No,,,6.8,,Rural Industrial,Industrial,Background Continuous,,,,,,,,,No,No,,-2.6383560924289795,51.55683349820393
263,264,LP46,South Liberty Lane RWS,269,356491,170206,No,NO2,1,No,,,,No,,,16.9,28.0,Urban Traffic,Roadside,Link Road (DT),,,,,,,,,No,No,,-2.6272232834873517,51.42917587897022
264,265,BCC,Wells Road,270,360903,170024,Yes,NOX NO2 NO,2,Yes,1.0,10.0,S010,Yes,A37 Airport Road junction kerbside left filter from A37 south,1.5,35.0,,Urban Traffic,Roadside,Roadside Continuous,,,This site is on the kerbside of a busy junction between the A4174 and the A37 in Knowle. Traffic queues and accelerates away from here towards the south and south - east. It is closer to the kerbside than nearby residential properties.,1053648000000.0,,,,3.0,No,Yes,1.0,-2.5637420738696934,51.4278622149951
265,266,TEMP_TRAILER_1,Trailer Portway P&R,271,352275,177008,No,NOX NO2 NO,2,No,,,car park portway,No,,,11.5,,Urban Traffic,Roadside,Roadside Continuous,,,,1078099200000.0,1235865600000.0,,,,No,No,,-2.688781973905141,51.489991938848746
266,267,BW1,Old Beaufort Club 1,272,358665,172842,No,NO2,1,Yes,,,,No,,,9.2,48.0,Urban Traffic,Roadside,Marsh Street (DT),,,,,,,,,No,No,,-2.596261673866912,51.453039739401156
267,268,BW2,Old Beaufort Club 2,273,358664,172838,No,NO2,1,Yes,,,,No,,,9.2,48.0,Urban Traffic,Roadside,Marsh Street (DT),,,,,,,,,No,No,,-2.5962755960764703,51.453003700531646
268,269,BW3,Old Beaufort Club 3,274,358664,172836,No,NO2,1,Yes,,,,No,,,9.2,48.0,Urban Traffic,Roadside,Marsh Street (DT),,,,,,,,,No,No,,-2.5962753618059233,51.45298571777391
269,270,BW4,B and W 3rd floor,275,358656,172781,No,NO2,1,Yes,,,,No,,,9.2,48.0,Urban Traffic,Roadside,Marsh Street (DT),,,,,,,,,No,No,,-2.5963840439530856,51.45249060502041
270,271,BW5,B and W Top Floor,276,358635,172764,No,NO2,1,Yes,,,,No,,,9.2,48.0,Urban Traffic,Roadside,Marsh Street (DT),,,,,,,,,No,No,,-2.596684252937719,51.45233621043219
271,272,BW6,B and W Broad Quay,277,358630,172773,No,NO2,1,Yes,,,,No,,,9.2,48.0,Urban Traffic,Roadside,Marsh Street (DT),,,,,,,,,No,No,,-2.5967572605991953,51.452416765797274
272,273,BW7,B and W Broad Quay2,278,358630,172786,No,NO2,1,Yes,,,,No,,,9.2,48.0,Urban Traffic,Roadside,Marsh Street (DT),,,,,,,,,No,No,,-2.59675878468956,51.45253365373011
273,274,BW8,Marsh St Derelict,279,358658,172801,No,NO2,1,Yes,,,,No,,,9.2,48.0,Urban Traffic,Roadside,Marsh Street (DT),,,,,,,,,No,No,,-2.5963576058524733,51.45267057934382
274,275,BW9,Marsh St Derelict Garage,280,358660,172819,No,NO2,1,Yes,,,,No,,,9.2,48.0,Urban Traffic,Roadside,Marsh Street (DT),,,,,,,,,No,No,,-2.5963309332345346,51.45283257089702
275,276,BW10,Rupert St Green Box,281,358668,173110,No,NO2,1,Yes,,,,Yes,,,8.9,56.0,Urban Traffic,Roadside,Marsh Street (DT),,,,,,,,,No,No,,-2.596249892951533,51.45544964848471
276,277,BW11,Project House GF,282,358682,172857,No,NO2,1,Yes,,,,No,,,9.2,48.0,Urban Traffic,Roadside,Marsh Street (DT),,,,,,,,,No,No,,-2.5960187872804186,51.45317585683447
277,278,BW12,Project House 1F,283,358682,172856,No,NO2,1,Yes,,,,No,,,9.2,48.0,Urban Traffic,Roadside,Marsh Street (DT),,,,,,,,,No,No,,-2.596018670200099,51.45316686545577
278,279,BW13,Project House 2F,284,358682,172854,No,NO2,1,Yes,,,,No,,,9.2,48.0,Urban Traffic,Roadside,Marsh Street (DT),,,,,,,,,No,No,,-2.596018436039656,51.45314888269831
279,280,BW14,Project House 3F,285,358682,172853,No,NO2,1,Yes,,,,No,,,9.2,48.0,Urban Traffic,Roadside,Marsh Street (DT),,,,,,,,,No,No,,-2.5960183189595316,51.45313989131955
280,281,YG1,William Street,286,359046,171884,No,NO2,1,Yes,,,,Yes,,,10.1,41.0,Urban Traffic,Roadside,York Gate (DT),,,,,,,,,No,No,,-2.5906680053871463,51.44445399817981
281,282,YG2,Whitehouse Street,287,359125,171885,No,NO2,1,Yes,,,,No,,,10.6,41.0,Urban Traffic,Roadside,York Gate (DT),,,,,,,,,No,No,,-2.5895314595024126,51.444468722970655
282,283,AVPB,Avonmouth Primary School,288,352688,177728,No,Lead,3,Yes,,,,No,,,6.3,,Urban Background,Urban background,BCC Heavy Metals,,,,,,,,,No,No,,-2.6829310686536196,51.49650004190421
283,284,BP1,Bear Pit Railing,289,359048,173557,No,NO2,1,No,,,,No,,,11.3,57.0,Urban Traffic,Roadside,Bear Pit (DT),,,,,,,,,No,No,,-2.5908329411308553,51.45949653924294
284,285,BP2,Bear Pit Toilet Block,290,359075,173540,No,NO2,1,No,,,,No,,,11.6,57.0,Urban Traffic,Roadside,Bear Pit (DT),,,,,,,,,No,No,,-2.590442355418167,51.4593456474304
285,286,BP3,Traffic Light Avon House,291,359087,173599,No,NO2,1,Yes,,,,No,,,14.5,57.0,Urban Traffic,Roadside,Bear Pit (DT),,,,,,,,,No,No,,-2.590276490539759,51.45987701069157
286,287,BP4,Shop Parade,292,359032,173500,No,NO2,1,Yes,,,,No,,,13.7,57.0,Urban Traffic,Roadside,Bear Pit (DT),,,,,,,,,No,No,,-2.59105660128102,51.458982867104005
287,288,BP5,Bond St. Lamp post,293,359138,173542,No,NO2,1,Yes,,,,No,,,12.8,57.0,Urban Traffic,Roadside,Bear Pit (DT),,,,,,,,,No,No,,-2.5895358309890937,51.4593682026125
288,289,BTX11,Castle Court forecourt sainsburys,294,361181,171825,No,BTX,1,No,,,,No,,,12.7,,Urban Industrial,Industrial,petrol station btx survey (DT),,,,,,,,,No,No,,-2.559942460245847,51.44407445295636
289,290,PS4_1,Lamppost   16 Ashley Road St. Pauls,295,359913,174315,Yes,NO2,1,Yes,2.0,2.0,,Yes,Outside No. 16 Lower Ashley Road St Pauls.,2.8,12.4,67.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,1.0,Yes,Yes,53.0,-2.5784691258443537,51.46637417718384
290,291,PS4_3,Facade   383 Church Road Redfield,297,362320,173626,No,NO2,1,No,3.0,6.0,,Yes,On lamp post on pavement setback area after entrance to St George's Library.  Park on Church Road. ,3.2,59.0,60.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,,No,No,,-2.543745984399879,51.46034470726591
291,292,PS4_4,Facade St. Georges Library   Church Road St. George,298,362276,173632,No,NO2,1,Yes,,,,No,,,56.0,60.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,,No,No,,-2.5443799337715585,51.460395725177996
292,293,PS4_5,Facade Ye Olde Flower Shop 218 Church Road St. George,299,361904,173533,No,NO2,1,Yes,,,,No,,,39.7,59.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,,No,No,,-2.549723554862103,51.459480700860084
293,294,PS4_6,Facade Haart Estate Agents 755 Fishponds Road Fishponds,300,363365,175883,Yes,NO2,1,Yes,1.0,3.0,comments,Yes,Correct,2.4,58.5,84.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,1.0,No,Yes,32.0,-2.528940434676714,51.4807065329419
294,295,PS4_7,Lamppost   717 Fishponds Road Fishponds,301,363271,175789,No,NO2,1,Yes,,,,No,,,59.2,84.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,,No,No,,-2.530284180181298,51.47985525120948
295,296,PS4_8,Facade Cafe Culture 597 Fishponds Road Fishponds,302,362775,175495,No,NO2,1,Yes,3.0,3.0,Commercial property,Yes,,,57.1,83.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,,No,No,,-2.5373950654560877,51.47717935105245
296,297,PS4_9,Facade   784 Muller Road Fishponds,303,361368,175170,Yes,NO2,1,Yes,6.0,6.0,,Yes,Above door of 784. ,2.2,24.7,82.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,1.0,Yes,No,45.0,-2.5576178277416295,51.474162843356474
297,298,PS4_10,Lamppost     Russell Town Avenue Redfield,304,360998,173372,No,NO2,1,Yes,,,,Yes,,,18.9,58.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,,No,No,,-2.562746128663929,51.45797137360283
298,299,PS4_11,Lamppost     Sarah Street Redfield,305,360661,173373,No,NO2,1,No,18.0,26.0,,Yes,On lamp post on on right of street going  down slope from Church Road before corner - nearer road than originally placed. Park on site.,2.5,21.3,58.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,,No,No,,-2.5675966346929537,51.457957022808344
299,300,PS4_12,Lamppost     Cottrell Road \ Muller Road Horfield,306,361078,175296,No,NO2,1,Yes,2.0,17.0,,Yes,,,12.4,82.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,,No,No,,-2.561807071006131,51.47527586106861
300,301,PS4_13,Lamppost     Glenfrome Road \ Muller Road Horfield,307,360747,175328,Yes,NO2,1,Yes,2.0,5.0,,Yes,Black lampost on junction outside magic scissors ,2.2,22.9,81.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,1.0,No,Yes,1.0,-2.5665763518305753,51.47554072759728
301,302,PS4_14,Lamppost     Muller Road Horfield,308,360124,175837,No,NO2,1,No,,,,No,,,28.3,81.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,,No,No,,-2.575604172041498,51.48007338782732
302,303,PS4_15,Lamppost     Muller Road \ Downend Road Horfield,309,359846,176386,No,NO2,1,No,,,,No,,,48.6,93.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,,No,No,,-2.5796699304440986,51.484989623069794
303,304,PS4_16,Lamppost     Muller Road \ Filton Avenue Horfield,310,359675,176760,No,NO2,1,No,,,,No,,,64.6,93.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,,No,No,,-2.5821753098498275,51.48834004019875
304,305,PS4_17,Give Way sign  Chesterfield Rd \ Ashley Down Road St. Andrews,311,359677,175057,No,NO2,1,No,1.0,6.0,,No,Behind warning road sign for school next to round about.,3.3,50.1,80.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,,No,No,,-2.581951429911825,51.47302874517212
305,306,PS4_18,Lamppost     Ashley Hill St. Pauls,312,359832,174616,Yes,NO2,1,Yes,2.0,6.0,,Yes,On lamp post opposite side of road from No 13 by private property sign on wall.,2.7,17.3,67.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,4.0,No,Yes,40.0,-2.579669474517358,51.46907474789318
306,307,PS4_19,Lamppost     Hendre Road \ Winterstoke Road Ashton,313,357139,170863,No,NO2,1,No,,,,No,,,7.8,29.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,,No,No,,-2.617983049134436,51.43513272586409
307,308,PS4_20,Lamppost     Whiteladies Road \ Cotham Hill Clifton,314,357751,174063,No,NO2,1,Yes,1.0,3.0,,No,outside halifax on lamppost,2.4,56.6,65.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,,No,No,,-2.609561568451857,51.463950422011955
308,309,PS4_21,Lamppost     M5 Lawrence Weston Road 25m from carriageway Avonmouth,315,354218,179077,No,NO2,1,No,,,,No,,,13.2,129.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,,No,No,,-2.6610680828174953,51.50875505096339
309,310,PS4_22,Lamppost     M5 Lawrence Weston Road 50m from carriageway Avonmouth,316,354187,179092,No,NO2,1,No,,,,No,,,12.9,129.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,,No,No,,-2.6615167069431593,51.5088873876683
310,311,QAQC_1,Monitor     A37 Wells Road Knowle,317,360903,170024,No,NO2,1,Yes,,,,Yes,,,35.0,32.0,Urban Traffic,Roadside,QAQC,,,,,,,,,No,No,,-2.5637420738696934,51.4278622149951
311,312,QAQC_1,Monitor     Rupert Street City Centre,318,358667,173110,No,NO2,1,No,1.0,25.0,,Yes,lamppost adjacent green box,2.8,8.9,56.0,Urban Traffic,Roadside,QAQC,,,,,,,,,No,No,,-2.5962642845403927,51.45544957513415
312,313,QAQC_1,Monitor     Temple Way Temple Meads,319,359486,172372,No,NO2,1,No,,,,No,,,9.0,49.0,Urban Traffic,Roadside,QAQC,,,,,,,,,No,No,,-2.5843930343660486,51.44887346258624
313,314,QAQC_1,Monitor     Bath Road Brislington,320,361180,171567,Yes,NO2,1,No,18.0,18.0,203,Yes,In adjacent office to the air monitoring unit in Brislington Depot. Open the right hand window in pull down to horizantal position - tubes on left han,6.0,14.5,43.0,Urban Background,Urban background,QAQC,,,,,,203.0,T,1.0,Yes,No,30.0,-2.559928492012364,51.441754643448974
314,315,QAQC_1,Monitor     Trailer Portway Park and Ride,321,352275,177008,No,NO2,1,No,53.0,82.0,,No,on cage on top of traile near security hut park and ride portway,3.2,11.5,101.0,Urban Traffic,Roadside,QAQC,,,,,,,,,No,No,,-2.688781973905141,51.489991938848746
315,316,QAQC_1,Monitor     Castlemead City Centre,322,359405,173300,No,NO2,1,Yes,,,,No,,,10.3,57.0,Urban Background,Urban background,QAQC,,,,,,,,,No,No,,-2.585665094675146,51.45721158920809
316,317,PS4_23,Facade   742 Muller Road Fishponds,324,361237,175227,No,NO2,1,Yes,,,,No,,,17.4,82.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,,No,No,,-2.5595101957623103,51.4746663833366
317,318,PS4_23,Facade   258 Fishponds Road Fishponds,325,361667,175103,Yes,NO2,1,Yes,8.0,8.0,,Yes,On façade of 258 top of door frame to left.,2.4,36.6,82.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,1.0,Yes,No,120.0,-2.5533056318757437,51.47358075575956
318,319,EFW_A1,Lamp post Roundabout poplar way,326,353190,180206,No,NO2,1,Yes,,,,No,,,7.1,137.0,Urban Background,Urban background,EFW,,,,,,,,,No,No,,-2.6760305561207276,51.518820957624705
319,320,EFW_A2,Lamp post bridge poplar way east,327,353441,180155,No,NO2,1,Yes,,,,No,,,7.2,137.0,Urban Background,Urban background,EFW,,,,,,,,,No,No,,-2.672406458350602,51.51838326633245
320,321,EFW_A3,Lamp post industrial units entrance,328,353431,180408,No,NO2,1,Yes,,,,No,,,6.5,137.0,Urban Background,Urban background,EFW,,,,,,,,,No,No,,-2.6725841772049916,51.52065710041124
321,322,EFW_A4,Lamp post bridge poplar way west,329,353001,180493,No,NO2,1,Yes,,,,No,,,7.2,137.0,Urban Background,Urban background,EFW,,,,,,,,,No,No,,-2.6787928245592676,51.52138553605933
322,323,EFW_B1,Days Road Kingsland Road,332,360147,172804,No,NO2,1,Yes,,,,No,,,12.5,50.0,Urban Background,Urban background,EFW,,,,,,,,,No,No,,-2.5749302467218658,51.45280483093218
323,324,EFW_B2,Days Road Chancery Street,333,360595,173072,No,NO2,1,Yes,,,,No,,,17.5,58.0,Urban Background,Urban background,EFW,,,,,,,,,No,No,,-2.5685130354710606,51.45524602213571
324,325,EFW_B3,Days Road Peters Terrace,334,360590,173171,No,NO2,1,Yes,,,,No,,,14.5,58.0,Urban Background,Urban background,EFW,,,,,,,,,No,No,,-2.5685960156984726,51.45613581628728
325,326,EFW_B4,Days Road Sarah Street,335,360624,173290,No,NO2,1,Yes,,,,No,,,16.8,58.0,Urban Background,Urban background,EFW,,,,,,,,,No,No,,-2.568119932238942,51.457208163621175
326,327,EFW_B5,Days Road Oxford Street,336,360074,172727,No,NO2,1,Yes,,,,No,,,10.8,50.0,Urban Background,Urban background,EFW,,,,,,,,,No,No,,-2.575972079893748,51.45210732770621
327,328,EFW_C1,Hartcliffe Hilltop Farm,337,358262,169696,No,NO2,1,Yes,,,,No,,,45.0,22.0,Urban Background,Urban background,EFW,,,,,,,,,No,No,,-2.601689946216669,51.42472462626071
328,329,EFW_C2,Hartcliffe Novers Hill,338,358391,169776,No,NO2,1,Yes,,,,No,,,52.2,22.0,Urban Background,Urban background,EFW,,,,,,,,,No,No,,-2.5998440677254386,51.4254534425822
329,330,EFW_C3,Hartcliffe Crantock Avenue,339,357928,169647,No,NO2,1,Yes,,,,No,,,20.4,21.0,Urban Background,Urban background,EFW,,,,,,,,,No,No,,-2.60648795937793,51.42425921573714
330,331,EFW_C4,Hartcliffe Novers Park Drive 1,340,358456,169916,No,NO2,1,Yes,,,,No,,,51.6,22.0,Urban Background,Urban background,EFW,,,,,,,,,No,No,,-2.5989257472096385,51.426716956371294
331,332,EFW_C5,Hartcliffe Novers Park Drive 2,341,358568,169954,No,NO2,1,Yes,,,,No,,,61.6,22.0,Urban Background,Urban background,EFW,,,,,,,,,No,No,,-2.5973192698879353,51.42706682909667
332,333,EFW_D2,Hengrove Whitchurch Lane,342,358646,168356,No,NO2,1,Yes,,,,No,,,44.3,14.0,Urban Background,Urban background,EFW,,,,,,,,,No,No,,-2.5960087357980983,51.41270450710294
333,334,EFW_D3,Hengrove Hawkfield Road,343,358726,168258,No,NO2,1,Yes,,,,No,,,46.6,14.0,Urban Background,Urban background,EFW,,,,,,,,,No,No,,-2.5948469718987397,51.41182921222444
334,335,EFW_D5,Hengrove Rowacres,344,359942,168573,No,NO2,1,Yes,,,,No,,,57.6,15.0,Urban Background,Urban background,EFW,,,,,,,,,No,No,,-2.57739893573497,51.414748878538084
335,336,EFW_D6,Hengrove Inns Court Drive,345,358934,168832,No,NO2,1,Yes,,,,No,,,53.6,14.0,Urban Background,Urban background,EFW,,,,,,,,,No,No,,-2.5919230471259005,51.41700540057298
336,337,EFW_C6,Hartcliffe A4174,346,358084,169760,No,NO2,1,Yes,,,,No,,,15.9,22.0,Urban Background,Urban background,EFW,,,,,,,,,No,No,,-2.604257798497759,51.425286859367525
337,338,EFW_D8,Hengrove Hengrove Leisure Park,348,359505,168658,No,NO2,1,Yes,,,,No,,,56.6,15.0,Urban Background,Urban background,EFW,,,,,,,,,No,No,,-2.5836920272011676,51.41548213449389
338,339,EFW_D7,Hengrove Penrose,349,359813,168948,No,NO2,1,Yes,,,,No,,,52.3,15.0,Urban Background,Urban background,EFW,,,,,,,,,No,No,,-2.579296414480027,51.41811149229388
339,340,153M,153 Muller Road Façade,350,359874,176293,No,NO2,1,Yes,,,,No,,,44.6,93.0,Urban Traffic,Roadside,Post Stage Four,,,,,,,,,No,No,,-2.579256108996483,51.48415545636801
340,341,HA1,M4 J18 Climbing Lane Near Springs Farm,351,374636,178072,No,NO2,1,No,,,,No,,,135.0,0.0,Urban Traffic,Roadside,Highways Agency,,,,,,,,,No,No,,-2.366795987602053,51.50100867912015
341,342,HA2,M4 j19 - 20 widening North East Green Acres Farm,352,363448,180993,No,NO2,1,No,,,,No,,,54.1,0.0,Urban Traffic,Roadside,Highways Agency,,,,,,,,,No,No,,-2.5282764498220396,51.52665700249329
342,343,HA3,M4 j19 - 20 widening SW1 Palmers Leaze,353,363264,181063,No,NO2,1,No,,,,No,,,56.1,0.0,Urban Traffic,Roadside,Highways Agency,,,,,,,,,No,No,,-2.5309360389212516,51.527274396362245
343,344,HA4,M4 j19 - 20 widening SW1 Ormond Close,354,362270,182697,No,NO2,1,No,,,,No,,,61.0,0.0,Urban Traffic,Roadside,Highways Agency,,,,,,,,,No,No,,-2.545439981535278,51.54190013262317
344,345,HA5,M5 J16 - 17 N Chillington Court,355,359448,182475,No,NO2,1,No,,,,No,,,83.9,0.0,Urban Traffic,Roadside,Highways Agency,,,,,,,,,No,No,,-2.5861048647697453,51.53970746010633
345,346,HA6,M5 J16 - 17 S Falcon Close,356,359084,181892,No,NO2,1,No,,,,No,,,83.2,0.0,Urban Traffic,Roadside,Highways Agency,,,,,,,,,No,No,,-2.5912848238365425,51.53443927767475
346,347,HA7,M5 J17 - 18 Hallen Hill - Hollywood Lane S of M5,357,357529,181058,No,NO2,1,No,,,,No,,,63.4,0.0,Urban Traffic,Roadside,Highways Agency,,,,,,,,,No,No,,-2.613601119492532,51.526825618231726
347,348,HA8,M5 J19 - 20 Naish Hill - Station Road S of M5,358,349717,175478,No,NO2,1,No,,,,No,,,9.1,0.0,Urban Traffic,Roadside,Highways Agency,,,,,,,,,No,No,,-2.7254030589509854,51.47601373149147
348,349,HA9,M5 J19 - 20 Tickenham Hill Housing Adjacent to J20,359,341567,170484,No,NO2,1,No,,,,No,,,5.7,0.0,Urban Traffic,Roadside,Highways Agency,,,,,,,,,No,No,,-2.841914759125154,51.43032990334681
349,350,HA10,M5 J19 - 20 Tickenham Hill N of J20,360,342486,171517,No,NO2,1,No,,,,No,,,6.1,0.0,Urban Traffic,Roadside,Highways Agency,,,,,,,,,No,No,,-2.8288650535934075,51.439711461628455
350,351,HA11,M5 J19 - 20 Tickenham Hill EXTRA GRADIENT,361,343641,172167,No,NO2,1,No,,,,No,,,71.8,0.0,Urban Traffic,Roadside,Highways Agency,,,,,,,,,No,No,,-2.8123529902434155,51.44567168294676
351,352,HA12,M5 J17 - 18 Hallen Hill EXTRA GRADIENT,362,355639,180096,No,NO2,1,No,,,,No,,,39.5,0.0,Urban Traffic,Roadside,Highways Agency,,,,,,,,,No,No,,-2.640722094211748,51.518030537331704
